Date,Open,High,Low,Close,Volume,Market Cap
28-Dec-16,0.006193,0.006336,0.006126,0.006173,"2,064,130","222,244,080"
27-Dec-16,0.006326,0.006326,0.006188,0.006199,"2,471,000","223,193,135"
26-Dec-16,0.006443,0.006481,0.006323,0.006326,"1,640,840","227,749,030"
25-Dec-16,0.00635,0.006453,0.006334,0.006444,"2,188,780","232,006,456"
24-Dec-16,0.006275,0.006371,0.006234,0.006349,"2,495,670","228,603,756"
23-Dec-16,0.006362,0.006436,0.006281,0.006286,"3,514,540","226,316,807"
22-Dec-16,0.006452,0.006466,0.006324,0.006363,"2,897,110","229,098,085"
21-Dec-16,0.006498,0.006498,0.006417,0.006445,"2,300,840","230,703,575"
20-Dec-16,0.00654,0.006543,0.006481,0.0065,"2,284,690","232,649,010"
19-Dec-16,0.006582,0.006582,0.006534,0.006545,"1,109,670","234,261,556"
18-Dec-16,0.006541,0.00658,0.006533,0.006574,"1,194,400","235,319,644"
17-Dec-16,0.006704,0.006711,0.006535,0.006541,"1,838,990","234,116,946"
16-Dec-16,0.006662,0.006791,0.006661,0.00671,"2,575,390","240,187,706"
15-Dec-16,0.006699,0.006699,0.006606,0.006662,"1,050,570","238,465,987"
14-Dec-16,0.006704,0.006753,0.00669,0.006705,"2,002,770","241,329,460"
13-Dec-16,0.00678,0.006781,0.006678,0.006708,"1,946,660","241,460,120"
12-Dec-16,0.006744,0.006809,0.006743,0.006778,"1,449,640","243,965,345"
11-Dec-16,0.006816,0.006998,0.006731,0.006744,"978,511","242,740,088"
10-Dec-16,0.007138,0.007145,0.006816,0.006816,"1,297,860","245,331,700"
9-Dec-16,0.007091,0.007162,0.007007,0.007135,"2,421,860","256,809,661"
8-Dec-16,0.006849,0.007156,0.006829,0.007097,"2,789,540","255,463,823"
7-Dec-16,0.006653,0.006851,0.006565,0.006851,"2,805,260","246,553,161"
6-Dec-16,0.006435,0.006655,0.006417,0.006655,"1,396,500","239,510,358"
5-Dec-16,0.006525,0.006761,0.006419,0.006434,"867,666","231,528,275"
4-Dec-16,0.006592,0.006595,0.006519,0.006527,"1,167,110","234,887,732"
3-Dec-16,0.006712,0.00689,0.006588,0.006588,"1,213,480","237,099,899"
2-Dec-16,0.006707,0.006906,0.006615,0.00666,"1,756,030","239,694,615"
1-Dec-16,0.006723,0.006737,0.006702,0.006702,"1,142,000","241,195,305"
30-Nov-16,0.006779,0.006784,0.00672,0.006723,"1,495,310","241,184,506"
29-Nov-16,0.007009,0.007042,0.00678,0.00678,"1,551,670","243,251,358"
28-Nov-16,0.007082,0.007114,0.006947,0.007008,"1,818,750","251,422,257"
27-Nov-16,0.007385,0.007499,0.00707,0.007074,"525,140","253,777,557"
26-Nov-16,0.006895,0.00739,0.006847,0.00739,"560,816","265,121,385"
25-Nov-16,0.006948,0.006979,0.006888,0.006902,"995,869","247,621,847"
24-Nov-16,0.007062,0.007069,0.006945,0.00695,"1,845,880","249,325,628"
23-Nov-16,0.007434,0.007435,0.007035,0.007061,"3,730,650","253,252,040"
22-Nov-16,0.007567,0.007567,0.007431,0.007434,"2,400,100","266,617,526"
21-Nov-16,0.007649,0.007651,0.007566,0.007566,"2,594,010","271,366,065"
20-Nov-16,0.007799,0.007806,0.007626,0.007651,"1,875,290","274,408,501"
19-Nov-16,0.007778,0.007809,0.007753,0.007799,"1,296,770","279,719,046"
18-Nov-16,0.007722,0.007778,0.007709,0.007778,"2,487,390","278,954,043"
17-Nov-16,0.007851,0.007867,0.007721,0.007727,"2,401,030","277,116,674"
16-Nov-16,0.007888,0.007944,0.007842,0.007842,"2,905,840","280,456,216"
15-Nov-16,0.008099,0.008115,0.007876,0.007881,"3,078,090","281,847,837"
14-Nov-16,0.008255,0.008308,0.008059,0.008098,"1,283,330","289,608,871"
13-Nov-16,0.008039,0.008258,0.007968,0.008257,"2,201,990","295,328,431"
12-Nov-16,0.008061,0.008105,0.008019,0.008044,"1,708,000","287,694,006"
11-Nov-16,0.008131,0.008146,0.008058,0.008065,"2,039,200","288,449,723"
10-Nov-16,0.008081,0.008138,0.008043,0.008136,"2,600,650","290,984,040"
9-Nov-16,0.008205,0.008222,0.008074,0.008079,"3,575,540","288,005,742"
8-Nov-16,0.008111,0.008246,0.008108,0.008206,"2,477,080","292,550,350"
7-Nov-16,0.008197,0.008197,0.008088,0.008108,"2,308,500","289,062,752"
6-Nov-16,0.00823,0.008277,0.008187,0.008193,"784,787","292,091,183"
5-Nov-16,0.008157,0.008261,0.008155,0.00823,"967,011","293,413,782"
4-Nov-16,0.008015,0.008161,0.008008,0.008157,"2,707,110","290,786,409"
3-Nov-16,0.008221,0.008243,0.007975,0.008021,"3,114,110","285,948,762"
2-Nov-16,0.008104,0.008222,0.008088,0.008222,"1,739,300","292,147,928"
1-Nov-16,0.008197,0.008259,0.008083,0.008102,"1,875,440","287,884,553"
31-Oct-16,0.008014,0.008261,0.008014,0.008196,"2,515,480","291,210,973"
30-Oct-16,0.007738,0.008018,0.007716,0.008014,"2,071,780","284,757,107"
29-Oct-16,0.008157,0.008162,0.007674,0.007732,"3,471,390","274,737,698"
28-Oct-16,0.008483,0.008492,0.008081,0.008143,"3,881,320","289,334,577"
27-Oct-16,0.008833,0.008849,0.008468,0.008481,"4,302,920","301,323,830"
26-Oct-16,0.008884,0.008944,0.008815,0.008835,"2,969,280","313,525,877"
25-Oct-16,0.009065,0.009135,0.008882,0.008891,"2,780,690","315,518,182"
24-Oct-16,0.009432,0.009485,0.009054,0.009065,"1,717,690","321,697,382"
23-Oct-16,0.008977,0.009454,0.008915,0.009454,"974,189","335,501,923"
22-Oct-16,0.009027,0.009081,0.008864,0.008972,"1,649,580","318,415,081"
21-Oct-16,0.00909,0.009128,0.008856,0.009029,"4,055,710","320,429,035"
20-Oct-16,0.008636,0.009124,0.00862,0.009092,"5,895,540","322,653,788"
19-Oct-16,0.008348,0.008637,0.008318,0.008627,"3,360,180","306,053,399"
18-Oct-16,0.008032,0.00835,0.008026,0.00835,"3,782,990","296,223,772"
17-Oct-16,0.008079,0.008144,0.008011,0.00803,"2,485,290","284,885,360"
